WIDTH,HEIGHT,SOURCE,TARGET
16,16,small,favicon
24,24,small,favicon
32,32,small,favicon
36,36,small,favicon
44,44,small,favicon
48,48,small,favicon
50,50,small,favicon
64,64,small,favicon
70,70,small,mstile
72,72,small,icon
76,76,small,icon
88,88,small,icon
96,96,small,icon
120,120,large,icon
144,144,large,mstile
150,150,large,mstile
152,152,large,icon
180,180,large,apple-touch-icon.png
192,192,large,android-chrome
300,300,large,icon
310,150,wide,mstile
310,310,large,mstile
512,512,large,android-chrome
620,300,wide,icon
1024,1024,large,icon
1240,600,wide,icon
